account_id,customer_id,product_type,open_date,credit_limit,current_balance,status
5001,1,credit_card,2019-05-10,8000,7420.55,delinquent
5002,2,personal_loan,2018-03-01,25000,18300.00,delinquent
5003,3,credit_card,2020-10-01,5000,120.00,current
5004,4,home_loan,2017-12-01,450000,398000.00,current
5005,5,credit_card,2021-04-01,12000,11890.20,delinquent
5006,6,personal_loan,2016-09-15,15000,15000.00,delinquent
5007,7,credit_card,2022-02-01,3000,45.00,current
5008,8,personal_loan,2019-11-01,20000,9600.00,delinquent
5009,9,credit_card,2020-07-01,10000,10250.00,delinquent
5010,10,home_loan,2016-01-10,600000,540000.00,current
5011,2,credit_card,2018-05-01,6000,5980.00,delinquent
5012,6,credit_card,2016-10-01,4000,3990.00,delinquent
