payment_id,account_id,payment_date,amount,method
9001,5001,2024-01-15,200.00,direct_debit
9002,5001,2024-02-15,200.00,direct_debit
9003,5001,2024-03-20,150.00,card
9004,5002,2024-01-05,500.00,direct_debit
9005,5002,2024-02-05,500.00,direct_debit
9006,5003,2024-03-01,120.00,card
9007,5005,2024-02-28,100.00,card
9008,5006,2023-12-01,300.00,direct_debit
9009,5008,2024-01-10,400.00,direct_debit
9010,5008,2024-02-10,400.00,direct_debit
9011,5008,2024-03-10,400.00,direct_debit
9012,5009,2024-03-15,250.00,card
9013,5011,2024-02-20,180.00,card
9014,5012,2024-01-25,90.00,card
9015,5005,2024-03-30,120.00,bank_transfer
